model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Fiesta,2017,12000,2,15944,2,150,57.7,1
 Focus,2018,14000,0,9083,2,150,57.7,1
 Focus,2017,13000,0,12456,2,150,57.7,1
 Fiesta,2019,17500,0,10460,2,145,40.3,1.5
 Fiesta,2019,16500,2,1482,2,145,48.7,1
 Fiesta,2015,10500,0,35432,2,145,47.9,1.6
 Puma,2019,22500,0,2029,2,145,50.4,1
 Fiesta,2017,9000,0,13054,2,145,54.3,1.2
 Kuga,2019,25500,2,6894,0,145,42.2,2
 Focus,2018,10000,0,48141,2,145,61.4,1
 Fiesta,2018,11561,0,18803,2,145,56.5,1
 EcoSport,2018,13500,0,12065,2,145,54.3,1
 Fiesta,2017,11000,0,20978,2,0,65.7,1
 Kuga,2018,17999,1,9002,0,145,54.3,2
 Kuga,2018,18999,1,8970,0,145,58.9,1.5
 Kuga,2018,14399,0,12810,0,145,64.2,1.5
 Kuga,2019,17999,0,10428,0,145,38.2,2
 Kuga,2018,16899,0,14680,0,145,54.3,2
 Fiesta,2017,10999,0,12427,2,20,62.8,1
 Fiesta,2019,12500,0,25521,2,145,55.4,1
 Fiesta,2018,9499,0,20400,2,145,55.4,1.1
 Fiesta,2017,10500,0,24926,2,145,65.7,1
 Fiesta,2017,8995,0,26163,2,145,65.7,1
 Kuga,2014,8995,0,59000,0,160,47.9,2
 Fiesta,2014,6795,0,35299,2,0,65.7,1
 Focus,2017,18499,0,13063,2,145,41.5,2
 C-MAX,2018,11799,0,23800,0,145,68.9,1.5
 Fiesta,2015,8299,0,25935,2,0,65.7,1
 Fiesta,2018,12499,0,8700,2,145,58.9,1
 Fiesta,2017,8699,0,25000,2,125,54.3,1.2
 Fiesta,2016,7999,0,60730,0,0,78.5,1.5
 Fiesta,2017,8991,0,18561,2,145,54.3,1.2
 Focus,2019,18990,0,8400,2,145,60.1,1
 Fiesta,2013,7236,0,39090,2,0,65.7,1
 Kuga,2018,15287,1,33149,0,145,58.9,1.5
 Mondeo,2019,20000,0,24,0,145,65.7,2
 EcoSport,2020,20000,0,558,2,145,53.3,1
 Kuga,2019,21378,0,3259,0,145,39.2,2
 Fiesta,2018,9814,0,15100,2,145,65.7,1
 Ka+,2018,8261,0,25000,2,145,57.7,1.2
